Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:35:48,-962,-760.0,-457.0,-1265.0,-659.0
2024-12-06 10:31:47,48,48.0,48.0,-760.0,48.0
2024-12-06 10:36:50,-760,-558.0,236.0,48.0,-861.0
2024-12-06 10:29:45,-861,48.0,-659.0,-861.0,-53.0
2024-12-06 10:32:56,-711,48.0,206.0,-962.0,-155.0
2024-12-06 10:35:41,-962,-861.0,-659.0,-861.0,-1063.0
2024-12-06 10:31:49,-488,-659.0,337.0,-1063.0,116.0
2024-12-06 10:35:46,-558,48.0,-356.0,-558.0,64.0
2024-12-06 10:32:51,-154,48.0,-457.0,-558.0,-861.0
2024-12-06 10:31:22,-659,-457.0,-558.0,-861.0,-861.0
2024-12-06 10:36:35,-43,-53.0,175.0,-1053.0,316.0
2024-12-06 10:32:05,-1265,-861.0,-659.0,-1164.0,-962.0
2024-12-06 10:35:12,298,48.0,518.0,-154.0,518.0
2024-12-06 10:35:15,-861,-356.0,-457.0,-659.0,48.0
2024-12-06 10:32:02,-1669,48.0,48.0,-962.0,-659.0
2024-12-06 10:36:32,-861,-154.0,-255.0,-457.0,-1164.0
2024-12-06 10:29:11,-154,48.0,-53.0,-962.0,48.0
2024-12-06 10:35:23,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:34,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:18,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:04,-659,48.0,-154.0,-1063.0,48.0
2024-12-06 10:29:27,-801,-649.0,387.0,-154.0,48.0
2024-12-06 10:31:14,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:33,48,408.0,48.0,-53.0,408.0
2024-12-06 10:35:24,-760,-659.0,347.0,-457.0,387.0
2024-12-06 10:29:20,-1265,-154.0,-356.0,-457.0,-659.0
2024-12-06 10:31:50,-861,48.0,48.0,-356.0,-154.0
2024-12-06 10:36:47,-861,-659.0,-760.0,-1063.0,-53.0
2024-12-06 10:32:48,88,48.0,528.0,48.0,48.0
2024-12-06 10:36:40,88,48.0,488.0,48.0,498.0
2024-12-06 10:31:57,48,48.0,48.0,48.0,-255.0
2024-12-06 10:35:58,-861,48.0,48.0,-356.0,-861.0
2024-12-06 10:35:51,-255,48.0,118.0,-760.0,48.0
2024-12-06 10:32:46,-154,78.0,508.0,48.0,518.0
2024-12-06 10:36:49,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:55,-1164,-457.0,-457.0,-1063.0,48.0
2024-12-06 10:32:41,-861,48.0,48.0,-659.0,-1063.0
2024-12-06 10:35:56,-558,-53.0,48.0,-457.0,-356.0
2024-12-06 10:29:52,48,78.0,48.0,48.0,48.0
2024-12-06 10:31:59,-558,48.0,-53.0,-1366.0,-659.0
2024-12-06 10:29:06,268,48.0,488.0,48.0,407.0
2024-12-06 10:29:39,48,48.0,48.0,48.0,48.0
2024-12-06 10:35:02,48,48.0,-558.0,-861.0,48.0
2024-12-06 10:32:15,-1063,48.0,228.0,-962.0,48.0
2024-12-06 10:36:25,-1074,226.0,428.0,-356.0,228.0
2024-12-06 10:31:32,-558,-1265.0,-356.0,-962.0,-962.0
2024-12-06 10:29:01,388,48.0,398.0,48.0,48.0
2024-12-06 10:31:35,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:12,-962,48.0,48.0,-760.0,48.0
2024-12-06 10:35:05,327,16.0,407.0,-168.0,326.0
2024-12-06 10:29:37,-1164,-1063.0,48.0,-861.0,-457.0
2024-12-06 10:31:03,-760,48.0,-237.0,-457.0,518.0
2024-12-06 10:36:14,68,68.0,498.0,48.0,498.0
2024-12-06 10:29:08,48,48.0,326.0,-154.0,326.0
2024-12-06 10:32:24,-558,48.0,-53.0,-760.0,-356.0
2024-12-06 10:35:33,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:30,-760,88.0,-558.0,-457.0,48.0
2024-12-06 10:35:34,-337,48.0,64.0,-861.0,508.0
2024-12-06 10:32:23,-457,148.0,218.0,-1467.0,78.0
2024-12-06 10:36:13,-1063,48.0,48.0,-1265.0,-53.0
2024-12-06 10:31:04,-1164,-760.0,-53.0,48.0,-154.0
2024-12-06 10:35:57,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:40,-962,-558.0,48.0,-659.0,-1063.0
2024-12-06 10:31:58,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:53,-659,48.0,-154.0,-659.0,17.0
2024-12-06 10:32:47,-659,48.0,94.0,48.0,195.0
2024-12-06 10:35:50,-962,136.0,367.0,-861.0,296.0
2024-12-06 10:29:54,-861,48.0,-558.0,-1265.0,-558.0
2024-12-06 10:31:56,-952,-861.0,-87.0,-297.0,-24.0
2024-12-06 10:36:41,-558,48.0,-53.0,-861.0,-356.0
2024-12-06 10:35:59,-53,48.0,-53.0,-457.0,-255.0
2024-12-06 10:36:46,-127,-356.0,327.0,-558.0,-7.0
2024-12-06 10:31:51,-255,-457.0,-760.0,-457.0,-1063.0
2024-12-06 10:32:49,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:31,378,-659.0,94.0,-659.0,528.0
2024-12-06 10:31:05,-558,-760.0,-1063.0,48.0,-154.0
2024-12-06 10:36:12,48,48.0,48.0,-457.0,-962.0
2024-12-06 10:35:35,-356,48.0,48.0,48.0,48.0
2024-12-06 10:29:36,-659,-629.0,-53.0,-356.0,347.0
2024-12-06 10:29:09,48,498.0,488.0,48.0,48.0
2024-12-06 10:32:25,-125,48.0,48.0,48.0,48.0
2024-12-06 10:36:15,-1063,48.0,-1063.0,-659.0,-558.0
2024-12-06 10:31:02,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:00,-1164,48.0,-457.0,48.0,48.0
2024-12-06 10:35:04,-1063,78.0,48.0,-1164.0,-1164.0
2024-12-06 10:32:13,-53,48.0,48.0,48.0,377.0
