Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-05 21:58:35,-691,-590.0,-792.0,-186.0,-489.0
2024-12-05 21:57:45,16,16.0,16.0,16.0,16.0
2024-12-05 21:50:52,16,16.0,16.0,-691.0,-388.0
2024-12-05 22:00:41,16,56.0,176.0,16.0,176.0
2024-12-05 21:48:59,136,46.0,166.0,16.0,116.0
2024-12-05 21:47:11,46,16.0,176.0,-277.0,156.0
2024-12-05 21:58:32,116,116.0,176.0,16.0,16.0
2024-12-05 21:50:39,-287,16.0,16.0,-792.0,-85.0
2024-12-05 21:48:32,65,16.0,35.0,-388.0,16.0
2024-12-05 21:54:09,-489,-388.0,-85.0,-893.0,-287.0
2024-12-05 21:50:06,-277,46.0,-147.0,-388.0,16.0
2024-12-05 21:57:11,16,16.0,16.0,16.0,126.0
2024-12-05 21:58:59,16,-45.0,116.0,-186.0,-388.0
2024-12-05 21:53:21,16,16.0,96.0,16.0,16.0
2024-12-05 21:54:36,126,16.0,166.0,16.0,16.0
2024-12-05 21:47:45,-85,16.0,16.0,16.0,16.0
2024-12-05 22:00:15,-792,16.0,-186.0,16.0,-489.0
2024-12-05 21:53:19,36,16.0,16.0,-287.0,26.0
2024-12-05 21:48:35,-247,-792.0,-287.0,-489.0,-1196.0
2024-12-05 21:57:29,-792,16.0,116.0,-388.0,-287.0
2024-12-05 21:47:42,16,46.0,-25.0,-691.0,16.0
2024-12-05 22:00:12,16,16.0,156.0,16.0,96.0
2024-12-05 21:54:31,116,56.0,96.0,-681.0,-15.0
2024-12-05 21:53:26,-994,16.0,-186.0,-691.0,-85.0
2024-12-05 21:57:16,-85,16.0,-489.0,16.0,-186.0
2024-12-05 21:50:01,66,16.0,166.0,16.0,16.0
2024-12-05 21:48:03,16,-590.0,25.0,-792.0,76.0
2024-12-05 21:54:38,46,16.0,176.0,16.0,176.0
2024-12-05 21:50:08,16,16.0,156.0,16.0,146.0
2024-12-05 21:58:57,16,16.0,16.0,16.0,16.0
2024-12-05 21:54:07,26,46.0,176.0,16.0,176.0
2024-12-05 21:53:10,-66,16.0,25.0,-85.0,136.0
2024-12-05 22:00:24,16,-85.0,16.0,-85.0,16.0
2024-12-05 21:57:20,66,-25.0,16.0,-186.0,16.0
2024-12-05 21:50:37,16,16.0,45.0,-85.0,106.0
2024-12-05 22:03:03,16,16.0,106.0,16.0,16.0
2024-12-05 21:57:18,-691,-994.0,-691.0,-1499.0,-35.0
2024-12-05 21:58:50,-489,16.0,16.0,-590.0,16.0
2024-12-05 21:53:28,16,16.0,156.0,16.0,166.0
2024-12-05 21:48:04,16,16.0,16.0,16.0,16.0
2024-12-05 22:03:04,-85,-388.0,76.0,-186.0,-388.0
2024-12-05 21:50:30,16,16.0,116.0,16.0,16.0
2024-12-05 22:00:23,16,16.0,16.0,16.0,16.0
2024-12-05 21:53:17,-287,46.0,66.0,-590.0,126.0
2024-12-05 21:54:00,136,16.0,55.0,16.0,166.0
2024-12-05 22:00:40,56,16.0,126.0,16.0,26.0
2024-12-05 21:47:10,16,16.0,156.0,16.0,156.0
2024-12-05 21:48:58,-489,66.0,166.0,16.0,126.0
2024-12-05 21:50:53,16,16.0,96.0,16.0,156.0
2024-12-05 21:57:44,16,16.0,-489.0,-186.0,-287.0
2024-12-05 21:58:33,-85,16.0,16.0,-590.0,16.0
2024-12-05 21:57:43,-590,-186.0,16.0,-186.0,16.0
2024-12-05 21:50:54,-388,-55.0,15.0,-590.0,-147.0
2024-12-05 22:00:47,146,46.0,-238.0,176.0,176.0
2024-12-05 21:47:17,56,16.0,16.0,-186.0,16.0
2024-12-05 21:58:34,16,36.0,176.0,16.0,16.0
2024-12-05 21:47:28,16,16.0,-186.0,-186.0,-85.0
2024-12-05 21:54:52,16,46.0,176.0,16.0,176.0
2024-12-05 21:53:45,146,25.0,-15.0,56.0,16.0
2024-12-05 21:47:21,76,16.0,126.0,16.0,16.0
2024-12-05 21:58:02,-157,16.0,16.0,16.0,16.0
2024-12-05 21:48:56,-489,16.0,-590.0,-792.0,-893.0
2024-12-05 21:47:26,16,16.0,16.0,16.0,16.0
2024-12-05 21:54:55,16,16.0,16.0,16.0,16.0
2024-12-05 22:00:49,-287,16.0,156.0,16.0,16.0
2024-12-05 21:47:19,16,16.0,-96.0,16.0,16.0
2024-12-05 21:48:51,106,16.0,166.0,16.0,166.0
2024-12-05 21:58:05,16,16.0,156.0,16.0,16.0
2024-12-05 21:53:29,-186,-186.0,-85.0,-893.0,-590.0
2024-12-05 21:48:05,16,46.0,156.0,-691.0,166.0
2024-12-05 21:58:51,-590,16.0,146.0,-489.0,66.0
2024-12-05 21:57:19,16,16.0,166.0,16.0,16.0
2024-12-05 22:00:22,45,36.0,65.0,-388.0,-26.0
2024-12-05 21:54:01,16,16.0,16.0,16.0,16.0
2024-12-05 21:53:16,16,16.0,16.0,-287.0,-85.0
2024-12-05 22:03:05,-388,-489.0,-287.0,-186.0,16.0
2024-12-05 21:57:26,46,16.0,126.0,-489.0,156.0
2024-12-05 21:50:31,55,-186.0,176.0,-228.0,-26.0
2024-12-05 21:58:56,-85,16.0,16.0,16.0,16.0
2024-12-05 21:48:02,-85,16.0,56.0,16.0,16.0
2024-12-05 21:54:39,-287,-388.0,-1095.0,-489.0,-85.0
2024-12-05 21:50:36,16,16.0,126.0,-388.0,16.0
2024-12-05 21:57:21,126,16.0,96.0,-85.0,15.0
2024-12-05 22:03:02,-85,16.0,-85.0,16.0,-287.0
2024-12-05 21:53:11,-590,16.0,16.0,16.0,16.0
2024-12-05 21:54:06,16,16.0,-186.0,-85.0,-388.0
2024-12-05 22:00:25,35,56.0,76.0,-186.0,126.0
2024-12-05 21:57:28,55,176.0,65.0,-45.0,75.0
2024-12-05 21:53:18,16,16.0,16.0,16.0,16.0
2024-12-05 21:48:34,-186,-590.0,16.0,-1095.0,16.0
2024-12-05 21:50:00,16,-287.0,16.0,-489.0,-287.0
2024-12-05 21:57:17,-85,-85.0,16.0,-691.0,-186.0
2024-12-05 21:47:43,-510,16.0,-186.0,-833.0,-691.0
2024-12-05 22:00:13,25,166.0,-26.0,-127.0,-26.0
2024-12-05 21:53:27,136,16.0,146.0,16.0,16.0
2024-12-05 21:54:30,-277,16.0,156.0,-489.0,106.0
2024-12-05 21:48:33,16,16.0,16.0,16.0,16.0
2024-12-05 21:54:08,-86,-994.0,25.0,-287.0,-56.0
2024-12-05 21:50:38,-85,16.0,16.0,16.0,16.0
2024-12-05 21:54:37,-137,26.0,166.0,-126.0,166.0
2024-12-05 21:53:20,-25,-186.0,176.0,75.0,126.0
2024-12-05 21:47:44,-590,16.0,16.0,16.0,16.0
2024-12-05 22:00:14,76,16.0,166.0,16.0,66.0
2024-12-05 21:58:58,56,16.0,176.0,16.0,-186.0
2024-12-05 21:57:10,26,16.0,-15.0,16.0,116.0
2024-12-05 21:50:07,-712,126.0,146.0,-590.0,166.0
